Index Name,Date,Open,High,Low,Close,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
NIFTY BANK,12-Jan-23,42238.5,42343.5,41742.95,42082.25,12-Jan-23,15.435,16.0425,14.4175,15.275,15.435,-0.16,-1.04
NIFTY BANK,13-Jan-23,42171.25,42453.95,41885.6,42371.25,13-Jan-23,15.275,15.6025,14.395,14.46,15.275,-0.81,-5.34
NIFTY BANK,16-Jan-23,42622.5,42715.65,42066.55,42167.55,16-Jan-23,14.46,15.3625,14.46,15.0225,14.46,0.56,3.89
NIFTY BANK,17-Jan-23,42241.2,42383.8,41861.1,42235.05,17-Jan-23,15.0225,15.31,13.84,14.59,15.0225,-0.43,-2.88
NIFTY BANK,18-Jan-23,42271.8,42555.9,42119.65,42458,18-Jan-23,14.59,14.75,12.4725,14.3725,14.59,-0.22,-1.49
NIFTY BANK,19-Jan-23,42416.3,42506.25,42234.9,42328.85,19-Jan-23,14.3725,14.8325,13.8925,13.96,14.3725,-0.41,-2.87
NIFTY BANK,20-Jan-23,42516.05,42709.2,42366.15,42506.8,20-Jan-23,13.96,14.185,11.6425,13.7875,13.96,-0.17,-1.24
NIFTY BANK,23-Jan-23,42891.45,43005.85,42727.7,42821.25,23-Jan-23,13.7875,14.26,13.48,13.6175,13.7875,-0.17,-1.23
NIFTY BANK,24-Jan-23,42994.45,43078.9,42615.65,42733.45,24-Jan-23,13.6175,13.81,13.3,13.6575,13.6175,0.04,0.29
NIFTY BANK,25-Jan-23,42703.6,42733.05,41540.3,41647.65,25-Jan-23,13.6575,15.4225,13.5175,14.655,13.6575,1,7.3
NIFTY BANK,27-Jan-23,41382.35,41417.9,40148.8,40345.3,27-Jan-23,14.655,18.0125,14.5825,17.32,14.655,2.67,18.18
NIFTY BANK,30-Jan-23,39856.15,40789.55,39419.8,40387.45,30-Jan-23,17.32,19.39,17.29,17.71,17.32,0.39,2.25
NIFTY BANK,31-Jan-23,40563.85,40811.65,40167.7,40655.05,31-Jan-23,17.71,18.3675,16.565,16.875,17.71,-0.84,-4.71
NIFTY BANK,01-Feb-23,41115,42015.65,39490.5,40513,01-Feb-23,16.875,18.54,14.8475,16.78,16.875,-0.09,-0.56
NIFTY BANK,02-Feb-23,39943.35,40757.6,39761.45,40669.3,02-Feb-23,16.78,17.7675,15.5075,15.7325,16.78,-1.05,-6.24
NIFTY BANK,03-Feb-23,41019.35,41539.95,40609.75,41499.7,03-Feb-23,15.7325,15.7575,14.27,14.3975,15.7325,-1.33,-8.49
NIFTY BANK,06-Feb-23,41530.15,41724.5,41261.2,41374.65,06-Feb-23,14.3975,15.205,14.185,14.6875,14.3975,0.29,2.01
NIFTY BANK,07-Feb-23,41513.1,41630.75,41095.1,41490.95,07-Feb-23,14.6875,14.875,13.665,14.125,14.6875,-0.56,-3.83
NIFTY BANK,08-Feb-23,41542.05,41791.95,41403.05,41537.65,08-Feb-23,14.125,14.2475,13.535,13.595,14.125,-0.53,-3.75
NIFTY BANK,09-Feb-23,41634,41634,41252.95,41554.3,09-Feb-23,13.595,13.815,12.0625,13.04,13.595,-0.56,-4.08
NIFTY BANK,10-Feb-23,41452.4,41678.9,41424.9,41559.4,10-Feb-23,13.04,13.2775,12.2075,12.745,13.04,-0.29,-2.26
NIFTY BANK,13-Feb-23,41563.5,41662.55,41157.9,41282.2,13-Feb-23,12.745,14.095,11.83,13.68,12.745,0.94,7.34
NIFTY BANK,14-Feb-23,41410.45,41718,41195.75,41648.35,14-Feb-23,13.68,13.68,12.4525,13.4525,13.68,-0.23,-1.66
NIFTY BANK,15-Feb-23,41674.6,41795.45,41455.6,41731.05,15-Feb-23,13.4525,13.4525,11.28,12.86,13.4525,-0.59,-4.4
NIFTY BANK,16-Feb-23,41925.7,41979.1,41521.95,41631.35,16-Feb-23,12.86,13.1625,10.1725,12.89,12.86,0.03,0.23
NIFTY BANK,17-Feb-23,41514,41516.3,40882.7,41131.75,17-Feb-23,12.89,13.52,10.8025,13.085,12.89,0.2,1.51
NIFTY BANK,20-Feb-23,41221.55,41292.6,40580.1,40701.7,20-Feb-23,13.085,13.7075,10.9225,13.3825,13.085,0.3,2.27
NIFTY BANK,21-Feb-23,40784.9,40946.2,40508.25,40673.6,21-Feb-23,13.3825,14.295,13.3825,14.0075,13.3825,0.63,4.67
NIFTY BANK,22-Feb-23,40494.15,40529.25,39899,39995.9,22-Feb-23,14.0075,15.915,12.3775,15.5875,14.0075,1.58,11.28
NIFTY BANK,23-Feb-23,39983.7,40147.8,39600.25,40001.55,23-Feb-23,15.5875,16.01,14.5175,15.075,15.5875,-0.51,-3.29
NIFTY BANK,24-Feb-23,40259.1,40348.1,39818.9,39909.4,24-Feb-23,15.075,15.1425,14.0075,14.185,15.075,-0.89,-5.9
NIFTY BANK,27-Feb-23,39820.4,40371.45,39745.4,40307.1,27-Feb-23,14.185,15.0975,13.75,13.875,14.185,-0.31,-2.19
NIFTY BANK,28-Feb-23,40302.7,40391.45,40073,40269.05,28-Feb-23,13.875,14.5675,13.5,14.02,13.875,0.14,1.05
NIFTY BANK,01-Mar-23,40473.85,40725.35,40341.95,40698.15,01-Mar-23,14.02,14.02,12.275,12.995,14.02,-1.03,-7.31
NIFTY BANK,02-Mar-23,40604.55,40773.25,40312.9,40389.8,02-Mar-23,12.995,13.55,11.1,12.97,12.995,-0.02,-0.19
NIFTY BANK,03-Mar-23,40671.4,41390.15,40605.35,41251.35,03-Mar-23,12.97,12.97,11.98,12.18,12.97,-0.79,-6.09
NIFTY BANK,06-Mar-23,41418.4,41671.2,41259.15,41350.4,06-Mar-23,12.18,12.4725,11.8375,12.2675,12.18,0.09,0.72
NIFTY BANK,08-Mar-23,41178.35,41625.35,41100.35,41577.1,08-Mar-23,12.2675,12.8475,11.8975,12.45,12.2675,0.18,1.49
NIFTY BANK,09-Mar-23,41532.65,41659,41208.1,41256.75,09-Mar-23,12.45,12.8425,11.78,12.725,12.45,0.28,2.21
NIFTY BANK,10-Mar-23,40805.25,40839,40341.7,40485.45,10-Mar-23,12.725,13.8175,12.725,13.4125,12.725,0.69,5.4
NIFTY BANK,13-Mar-23,40356.1,40690.05,39454.6,39564.7,13-Mar-23,13.4125,16.4275,13.4125,16.215,13.4125,2.8,20.89
NIFTY BANK,14-Mar-23,39522.4,39768.5,39132.6,39411.4,14-Mar-23,16.215,16.6425,15.0025,16.2175,16.215,0,0.02
NIFTY BANK,15-Mar-23,39777.9,39914.1,38934.65,39051.5,15-Mar-23,16.2175,16.505,14.5175,16.295,16.2175,0.08,0.48
NIFTY BANK,16-Mar-23,39061.7,39381.4,38613.15,39132.6,16-Mar-23,16.295,17.355,13.95,16.2175,16.295,-0.08,-0.48
NIFTY BANK,17-Mar-23,39442.4,39705.15,38926.8,39598.1,17-Mar-23,16.2175,16.2175,14.6,14.7675,16.2175,-1.45,-8.94
NIFTY BANK,20-Mar-23,39512.1,39512.1,38941.9,39361.95,20-Mar-23,14.7675,17.22,14.52,16.0075,14.7675,1.24,8.4
NIFTY BANK,21-Mar-23,39599.65,39970.9,39366.3,39894.7,21-Mar-23,16.0075,16.035,14.0825,15.0825,16.0075,-0.93,-5.78
NIFTY BANK,22-Mar-23,40036,40085.6,39837.8,39999.05,22-Mar-23,15.0825,15.0925,14.2425,14.8075,15.0825,-0.28,-1.82
NIFTY BANK,23-Mar-23,39836.15,40201.6,39552.5,39616.9,23-Mar-23,14.8075,15.0575,13.9025,14.49,14.8075,-0.32,-2.14
NIFTY BANK,24-Mar-23,39555.25,39767.9,39294.9,39395.35,24-Mar-23,14.49,15.43,14.2025,15.24,14.49,0.75,5.18
NIFTY BANK,27-Mar-23,39484.7,39695.2,39273.75,39431.3,27-Mar-23,15.24,16.0925,15.0975,15.445,15.24,0.21,1.35
NIFTY BANK,28-Mar-23,39545.05,39645.2,39326.1,39567.9,28-Mar-23,15.445,15.6075,14.865,15.1,15.445,-0.35,-2.23
